image_size,timesteps,channels,idg_stage_gb_total,gridder_gb_total,subfft_gb_total,host_joules_total,device_joules_total,host_gb_per_j,device_gb_per_j,host_event_count,device_event_count,gridder_event_count,subfft_event_count,n_runs
16384,1,8,21.847748611,13.32886912,8.518879491,24.57,17.05,0.8892042576719577,1.2813928804105572,1.0,1.0,1.0,1.0,1
16384,1,64,21.9641792,13.445426399999999,8.518752800000001,23.32,16.21,0.9418601715265866,1.3549771252313387,1.0,1.0,1.0,1.0,1
16384,1,128,22.097467539999997,13.57855912,8.518908419999999,23.92,16.55,0.923807171404682,1.335194413293051,1.0,1.0,1.0,1.0,1
16384,1,256,23.995866129,14.8400424,9.155823729000002,27.95,18.92,0.8585283051520572,1.2682804507928116,1.0,1.0,1.0,1.0,1
16384,8,1,114.26304298,69.68392346,44.57911952,35.29,29.65,3.237830631340323,3.8537282623946036,1.0,1.0,1.0,1.0,1
16384,8,8,114.39801564,69.81170616,44.58630948,31.54,24.29,3.6270772238427393,4.7096754071634415,1.0,1.0,1.0,1.0,1
16384,8,64,115.47810704999998,70.83389007999999,44.644216969999995,33.34,29.03,3.463650481403718,3.9778886341715456,1.0,1.0,1.0,1.0,1
16384,8,128,116.71000199,71.9995238,44.710478189999996,41.81,39.47,2.791437502750538,2.956929363820623,1.0,1.0,1.0,1.0,1
16384,8,256,132.21256552,82.2847368,49.927828719999994,64.07,77.46,2.0635643127828938,1.7068495419571392,1.0,1.0,1.0,1.0,1
16384,64,1,319.0732392,194.648376,124.4248632,61.36,67.87,5.200020195567145,4.7012411846176505,1.0,1.0,1.0,1.0,1
16384,64,8,320.74079128,196.02695,124.71384128,67.45,68.04,4.755237824759081,4.7140033991769545,1.0,1.0,1.0,1.0,1
16384,64,64,357.60532480800003,221.41657456000002,136.18875024800002,159.17,175.59,2.246687973914683,2.036592771843499,3.0,3.0,3.0,3.0,1
16384,64,128,408.389116187,255.70627124,152.682844947,282.15,287.51,1.4474184518412194,1.4204344759730096,5.0,5.0,5.0,5.0,1
16384,64,256,561.684616121,355.8286387,205.85597742099998,511.9,588.53,1.0972545733951944,0.9543857001699149,8.0,8.0,8.0,8.0,1
16384,128,1,383.86503211,234.2480714,149.61696071,76.13,95.21,5.042230817154867,4.031772209956937,1.0,1.0,1.0,1.0,1
16384,128,8,387.49930623,237.19089960000002,150.30840663,86.84,114.06,4.462221398318747,3.3973286536033664,1.0,1.0,1.0,1.0,1
16384,128,64,458.69544963400006,286.4203327,172.275116934,280.58,252.63,1.6348116388694849,1.8156808361398094,5.0,4.0,5.0,5.0,1
16384,128,128,566.4406983450001,358.76690578000006,207.67379256499999,561.8100000000001,538.63,1.0082424633683986,1.051632286254015,10.0,10.0,10.0,10.0,1
