image_size,timesteps,channels,host_joules_total,device_joules_total,host_event_count,device_event_count,n_runs,input_disk_gib,output_gib,total_gib,host_gib_per_j,device_gib_per_j
16384,128,256,1025.79,1098.9299999999998,16.0,16.0,1,31.9375,1.0,32.9375,0.03210939860985192,0.02997233672754407
16384,256,1,88.81,109.03,1.0,1.0,1,0.24951171875,1.0,1.24951171875,0.014069493511428893,0.011460256064844538
16384,256,8,136.78,173.1,2.0,2.0,1,1.99609375,1.0,2.99609375,0.021904472510600966,0.017308456094742925
16384,256,64,552.61,532.23,10.0,10.0,1,15.96875,1.0,16.96875,0.030706556160764373,0.03188236288822501
16384,256,128,1097.74,966.6899999999999,19.0,19.0,1,31.9375,1.0,32.9375,0.030004828101371908,0.034072453423538054
16384,256,256,2049.5499999999997,2113.51,32.0,32.0,1,63.875,1.0,64.875,0.03165328974652973,0.030695383508949563
32768,1,1,29.65,19.91,1.0,1.0,1,0.0009746551513671,4.0,4.000974655151367,0.13494012327660598,0.20095302135365983
32768,1,8,24.83,17.67,1.0,1.0,1,0.0077972412109375,4.0,4.0077972412109375,0.16140947407212797,0.22681365258692343
32768,1,64,23.85,16.14,1.0,1.0,1,0.0623779296875,4.0,4.0623779296875,0.17033031151729558,0.2516962781714684
32768,1,128,23.72,16.23,1.0,1.0,1,0.124755859375,4.0,4.124755859375,0.17389358597702362,0.25414392232747995
32768,1,256,27.45,19.02,1.0,1.0,1,0.24951171875,4.0,4.24951171875,0.1548091700819672,0.22342332906151421
32768,8,1,35.31,26.37,1.0,1.0,1,0.0077972412109375,4.0,4.0077972412109375,0.11350317873721148,0.15198320975392254
32768,8,8,32.35,22.23,1.0,1.0,1,0.0623779296875,4.0,4.0623779296875,0.1255758247198609,0.18274304676956815
32768,8,64,33.73,22.66,1.0,1.0,1,0.4990234375,4.0,4.4990234375,0.13338344018677736,0.19854472363195058
32768,8,128,43.43,34.25,1.0,1.0,1,0.998046875,4.0,4.998046875,0.11508282005526134,0.14592837591240876
32768,8,256,65.28,88.11,1.0,1.0,1,1.99609375,4.0,5.99609375,0.09185192631740195,0.06805236352286914
32768,64,1,64.02,52.95,1.0,1.0,1,0.0623779296875,4.0,4.0623779296875,0.0634548255183927,0.07672101850212464
32768,64,8,68.19,89.56,1.0,1.0,1,0.4990234375,4.0,4.4990234375,0.06597775975216308,0.050234741374497544
32768,64,64,160.14,186.55,3.0,3.0,1,3.9921875,4.0,7.9921875,0.04990750281004122,0.04284206647011525
32768,64,128,283.26,231.35999999999999,5.0,4.0,1,7.984375,4.0,11.984375,0.04230874461625362,0.051799684474412175
32768,64,256,520.09,530.8399999999999,8.0,8.0,1,15.96875,4.0,19.96875,0.03839479705435597,0.03761726697309924
32768,128,1,77.5,102.79,1.0,1.0,1,0.124755859375,4.0,4.124755859375,0.05322265625,0.040127987735917886
32768,128,8,88.34,115.19,1.0,1.0,1,0.998046875,4.0,4.998046875,0.05657739274394385,0.0433895900251758
32768,128,64,278.09,292.57000000000005,5.0,5.0,1,7.984375,4.0,11.984375,0.04309531087058147,0.04096241925009399
32768,128,128,561.8,558.74,10.0,10.0,1,15.96875,4.0,19.96875,0.03554423282306871,0.03573889465583276
32768,128,256,1026.37,1135.38,16.0,16.0,1,31.9375,4.0,35.9375,0.03501417617428413,0.03165239831598231
32768,256,1,87.63,96.95,1.0,1.0,1,0.24951171875,4.0,4.24951171875,0.04849380028243752,0.04383199297318205
32768,256,8,137.37,166.32,2.0,2.0,1,1.99609375,4.0,5.99609375,0.04364922290165247,0.036051549723424725
32768,256,64,557.6800000000001,563.11,10.0,10.0,1,15.96875,4.0,19.96875,0.03580682470233825,0.035461543925698356
32768,256,128,1098.5,1058.96,19.0,19.0,1,31.9375,4.0,35.9375,0.03271506599908967,0.03393659817179119
32768,256,256,2061.98,2194.29,32.0,32.0,1,63.875,4.0,67.875,0.03291739008137809,0.030932556772350055
