image_size,timesteps,channels,gridder_s,sub_fft_s,wtiling_s,known_kernel_s,wall_s,n_runs,input_disk_gib,output_gib,total_disk_gib,other_wsclean_s
32768,128,1,0.22209800000000002,0.022882600000000003,0.315805,0.5607856,215.97,1,0.124755859375,4.0,4.124755859375,215.4092144
32768,128,8,0.27128399999999997,0.024053500000000002,0.35709300000000005,0.6524305,249.51,1,0.998046875,4.0,4.998046875,248.85756949999998
32768,128,64,0.8427276,0.0306087,1.1246179999999997,1.9979542999999997,658.26,1,7.984375,4.0,11.984375,656.2620457
32768,128,128,1.5583830000000003,0.0332593,2.2798380000000003,3.871480300000001,1127.1,1,15.96875,4.0,19.96875,1123.2285196999999
32768,128,256,3.038443,0.0387958,4.214918000000001,7.292156800000001,2163.41,1,31.9375,4.0,35.9375,2156.1178431999997
32768,256,1,0.26531000000000005,0.0285861,0.360227,0.6541231000000001,307.69,1,0.24951171875,4.0,4.24951171875,307.0358769
32768,256,8,0.375879,0.0259929,0.549829,0.9517009000000001,429.41,1,1.99609375,4.0,5.99609375,428.45829910000003
32768,256,64,1.573266,0.035824100000000005,2.290371,3.8994611,1247.49,1,15.96875,4.0,19.96875,1243.5905389
32768,256,128,2.997126,0.039572600000000006,4.4456359999999995,7.4823346,2316.78,1,31.9375,4.0,35.9375,2309.2976654000004
32768,256,256,5.940126000000001,0.0582526,8.486073,14.4844516,4204.0,1,63.875,4.0,67.875,4189.5155484
