image_size,timesteps,channels,gridder_s,sub_fft_s,wtiling_s,known_kernel_s,wall_s,wall_s_mean,wall_s_std,throughput_mvis_s_mean,throughput_mvis_s_std,gpu_sm_util_mean_pct,gpu_sm_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_mem_used_sum_mb_peak,gpu_sm_util_active_mean_pct,gpu_mem_util_active_mean_pct,gpu_mem_used_sum_mb_active_mean,cpu_power_sum_w_mean,other_s,n_runs
8192,8,64,0.067577,0.0065829,0.130135,0.2042949,72.78,72.78,,439.19,,0.05975500448162534,25.0,0.019270988945324172,15.25,54142.0,4.166666666666667,1.34375,25755.333333333332,233.2058286391936,72.57570510000001,1
8192,8,128,0.102383,0.0067978,0.161503,0.27068380000000003,108.46000000000001,108.46000000000001,,707.79,,0.05810249307479225,25.0,0.014127423822714681,17.25,53968.0,4.462765957446808,1.0851063829787233,24712.08510638298,233.45320373421197,108.18931620000001,1
8192,8,256,0.176362,0.0057109,0.23875,0.4208229,167.64,167.64,,960.5,,0.0584279368213228,25.0,0.012833168805528134,15.75,54288.0,5.146739130434782,1.1304347826086956,26340.521739130436,233.71715935278257,167.2191771,1
8192,64,1,0.113078,0.0143296,0.171483,0.2988906,87.58,87.58,,40.8,,0.08622936576889662,25.0,0.028960324355632783,18.25,55342.0,4.4440298507462686,1.492537313432836,23038.0,233.54945201149425,87.28110939999999,1
8192,64,8,0.134083,0.0123448,0.188065,0.33449280000000003,119.96000000000001,119.96000000000001,,301.05,,0.07010652463382157,25.0,0.024567243675099867,20.0,54336.0,4.966981132075472,1.740566037735849,24030.98113207547,233.88373248407643,119.6255072,1
8192,64,64,0.372321,0.0159799,0.568333,0.9566338999999999,335.11,335.11,,733.6233333333333,,0.09934417143912802,25.0,0.02203029743210789,16.5,54242.0,7.266891891891892,1.6114864864864864,30636.216216216217,234.70670946441672,334.1533661,1
8192,64,128,0.674456,0.0160138,1.035644,1.7261138,588.26,588.26,,871.324,,0.08845058967059781,25.0,0.01836790023044598,19.5,54552.0,7.767857142857143,1.6130952380952381,31630.404761904763,235.56862520172135,586.5338862,1
8192,64,256,1.2944330000000004,0.016778900000000003,1.9355419999999999,3.2467539000000003,1078.63,1078.63,,949.9437499999999,,0.09980183750675554,25.0,0.018239956764546927,19.5,54172.0,9.551724137931034,1.7456896551724137,34324.31034482759,234.4101650824964,1075.3832461000002,1
8192,128,1,0.136567,0.016778,0.195757,0.349102,139.28,139.28,,72.24,,0.08387096774193549,23.75,0.034193548387096775,16.25,54898.0,4.276315789473684,1.743421052631579,24478.342105263157,234.2125397639815,138.930898,1
8192,128,8,0.178864,0.015922,0.233838,0.428624,200.24,200.24,,485.38,,0.06621030832949838,25.0,0.02421767142199724,16.25,53928.0,5.429245283018868,1.9858490566037736,28291.509433962263,234.4622363968907,199.811376,1
8192,128,64,0.6885679999999998,0.0139377,0.8625061,1.5650118,639.84,639.84,,875.0319999999999,,0.08607987592089958,25.0,0.018482616001033993,17.75,54318.0,6.9375,1.4895833333333333,33415.520833333336,235.457183111225,638.2749882,1
8192,128,128,1.302435,0.0183683,2.063369,3.3841722999999995,1141.16,1141.16,,849.3050000000001,,0.10219365241004752,25.0,0.016611507128309572,18.0,53920.0,9.192748091603054,1.4942748091603053,36069.81679389313,235.7927716721533,1137.7758277,1
8192,128,256,2.5385000000000004,0.029355399999999997,3.65815,6.2260054,2119.09,2119.09,,942.934375,,0.10214337928153717,25.0,0.014411027568922305,19.5,54064.0,10.083762886597938,1.422680412371134,38267.26804123711,235.53751355280926,2112.8639946000003,1
8192,256,1,0.155185,0.0166941,0.21897299999999997,0.3908520999999999,242.97,242.97,,128.34,,0.060770220982621755,25.0,0.02032825573911178,19.25,55650.0,4.496031746031746,1.503968253968254,24120.666666666668,233.55963415672912,242.5791479,1
8192,256,8,0.260877,0.018625199999999998,0.40629099999999996,0.6857932,366.9,366.9,,407.86,,0.07659269863994274,25.0,0.020177165354330708,20.25,54308.0,5.944444444444445,1.5659722222222223,29764.527777777777,234.03404574581702,366.2142068,1
8192,256,64,1.3128798,0.021547200000000002,2.101302,3.4357290000000003,1230.0,1230.0,,858.2049999999999,,0.09486069123294387,25.0,0.01468665740665087,20.0,54602.0,8.930769230769231,1.3826923076923077,36835.03076923077,234.71303332520523,1226.564271,1
